Curso,Sexo,¿Quién es Richard Stallman?,¿Sabes qué características tiene el software libre?,¿Debe ser el software libre siempre gratuito?,¿Puedo proteger mi trabajo con alguna licencia y que siga siendo software libre?,¿Conoces alguna licencia de software?,¿Cuáles?,¿Liberarías tu código con una licencia Creative Commons?,Marca cuáles de los siguientes programas crees que tienen una licencia libre,¿Qué es el copyright?,¿Qué es el copyleft?,¿Cúal se aplica por defecto ante ausencia de licencia de una obra?,¿Cuántos años dura el copyright en España?,¿Qué ocurre pasado ese tiempo con la obra?,¿Conoces GitHub?,¿Has subido algún proyecto a GitHub?,¿Qué significa hacer un fork de un proyecto?
3,M,Creador del kernel de Linux,"Software cuyo código fuente puede ser accedido, modificado y reproducido.","No, Ubuntu es de pago para empresas",Sí,Sí,CC,"Sí, considero que las licencias restrictivas sólo limitan la difusión y creación de conocimiento","uTorrent, Eclipse, Mozilla Firefox",Derecho reservado de copia,Ausencia de copyright,Copyleft,40 años,Pasa a ser dominio público,Sí,Sí,Copiar un proyecto y modificarlo por tu cuenta
3,M,Fundador de FSF y defensor del software libre,"Código abierto, reconocimiento de autoría, compartición libre.",No,Sí,Sí,"GPL, WTFPL","No, porque es para temas de arte e inteligencia","Eclipse, Mozilla Firefox, Telegram",Derecho a reconocer tu autoría,NS/NC,Copyright,50 - 70 años,Pasa a ser dominio público,Sí,No,Copiar un proyecto ya existente de otro usuario
3,M,"Funcador de FSF, creador de GNU y Emacs",NS/NC,No,Sí,Sí,"MIT, Apache, GPL, WTFPL","No, CC es para arte y no para código","Eclipse, Mozilla Firefox, Telegram",Derecho a no reproducir la obra de alguien,Derecho a reproducir la obra de alguien,Copyright,50 años después de la muerte del autor,Dominio público,Sí,Sí,Copiar el repositorio de otro y desarrollar por tu cuenta para luego hacer un pull request o generar otra rama de un proyecto.
3,M,NS/NC,Permisos para modificación y acceso al código,No,NS/NC,NS/NC,,NS/NC,Telegram,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Sí,Sí,NS/NC
4,M,"Fundador de GNU, desarrollador software (Debian), software libre",Puede copiarse,NS/NC,Sí,Sí,"GPL, GNU",NS/NC,"Eclipse, Mozilla Firefox, Telegram",Licencia privativa que protege la obra frente a copias,"Licencia que permite la libre distribución, copia y adaptación de la obra",NS/NC,NS/NC,NS/NC,Sí,No,"Adaptar el código ampliándolo, añadiendo funcionalidades o cambiando algunas cosas"
4,M,Uno de los precursores del Software Libre,"Se puede copiar, manipular y distribuir de forma gratuita",Sí,Sí,Sí,CC,Depende del código,Mozilla Firefox,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Sí,No,NS/NC
4,M,Creador del software libre,NS/NC,NS/NC,Sí,No,,NS/NC,"Eclipse, Mozilla Firefox, Telegram",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
4,M,Creador de GNU,Puede ser modificado por terceros,No,Sí,Sí,"Copyright, CC","Sí, si quisiera que otros pudieran usar mi código pero no perder la autoría sobre él","uTorrent, Eclipse, Mozilla Firefox, Telegram",Impide la copia de archivos u obras al poseer los derechos,No existe,Ninguna,50 años,Dominio público,Sí,No,Dividir el proyecto en dos copias iguales para que cada uno se desarrolle en direcciones distintas
4,M,Creador de GNU,Libre acceso al código fuente,No,Sí,Sí,"GPL, CC",Depende del código.,"Eclipse, Mozilla Firefox","Derechos de autoría, el uso lo cede el autor",Contrario a copyright.,NS/NC,NS/NC,NS/NC,Sí,No,Ramificar el proyecto para hacer una versión alternativa
4,M,NS/NC,Gratuito,Sí,Sí,No,,NS/NC,"Google Chrome, Mozilla Firefox",Derecho de no dejar de copiar el programa sin permiso.,NS/NC,Utilidades limitadas,NS/NC,Gratis,No,No,NS/NC
4,M,Promotor del software libre,NS/NC,NS/NC,Sí,No,,NS/NC,"Eclipse, Mozilla Firefox, Telegram",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
4,F,El de software libre,Disponible para todos,NS/NC,Sí,No,,NS/NC,"uTorrent, Eclipse, Mozilla Firefox, Telegram",Licencia - derecho de autor,Software libre,Copyleft,NS/NC,NS/NC,Sí,No,NS/NC
3,M,NS/NC,Se pueden hacer modificaciones en él.,No,Sí,No,,NS/NC,"uTorrent, Mozilla Firefox",El derecho es del que lo ha creado,Se pueden distribuir copias modificadas,NS/NC,NS/NC,Es de cualquier persona,Sí,No,NS/NC
3,M,NS/NC,NS/NC,NS/NC,Sí,Sí,CC,NS/NC,,Derechos de autor,NS/NC,NS/NC,70 años,Pasa a ser dominio público,Sí,No,NS/NC
